rearrange_adhesions,update_frame,update_nuc,update_cell,correct_conc,diffuse_k0,save_state,
0,0,116,7,0,24,0,
0,0,117,7,0,19,0,
0,0,117,7,0,24,0,
0,0,116,7,0,23,0,
0,0,118,7,0,26,0,
0,0,120,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,23,0,
0,0,117,7,0,24,0,
0,0,117,7,0,23,0,
0,0,117,7,0,24,0,
0,0,118,7,0,24,0,
0,0,118,7,0,22,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,24,0,
0,0,118,7,0,21,0,
0,0,117,7,0,24,0,
0,0,116,7,0,24,0,
0,0,116,7,0,23,0,
0,0,116,7,0,24,0,
0,0,117,7,0,23,0,
0,0,116,7,0,20,0,
0,0,116,7,0,21,0,
0,0,118,7,0,24,0,
0,0,117,7,0,24,0,
0,0,117,7,0,20,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,118,7,0,22,0,
0,0,117,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,24,0,
0,0,121,7,0,23,0,
0,0,117,7,0,23,0,
0,0,118,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,116,7,0,19,0,
0,0,116,7,0,20,0,
0,0,117,7,0,19,0,
0,0,116,7,0,22,0,
0,0,116,7,0,21,0,
0,0,116,7,0,24,10,
91,0,118,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,19,0,
0,0,116,7,0,20,0,
0,0,116,7,0,23,0,
0,0,116,7,0,21,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,19,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,19,0,
0,0,116,7,0,20,0,
0,0,116,7,0,23,0,
0,0,116,7,0,20,0,
0,0,115,7,0,23,0,
0,0,116,7,0,22,0,
0,0,115,7,0,23,0,
0,0,116,7,0,22,0,
0,0,115,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,119,7,0,24,0,
0,0,116,7,0,24,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,116,7,0,22,0,
0,0,117,7,0,23,0,
0,0,115,7,0,22,0,
0,0,115,7,0,23,0,
0,0,115,7,0,22,0,
0,0,115,7,0,22,0,
0,0,116,7,0,22,0,
0,0,116,7,0,19,0,
0,0,116,7,0,18,0,
0,0,115,7,0,23,0,
0,0,115,7,0,21,0,
0,0,115,7,0,23,0,
0,0,115,7,0,20,0,
0,0,115,7,0,23,0,
0,0,115,7,0,22,0,
0,0,116,7,0,20,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,21,0,
0,0,115,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,20,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,20,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,21,0,
0,0,115,7,0,20,0,
0,0,115,7,0,21,0,
0,0,116,7,0,21,0,
0,0,115,7,0,22,0,
0,0,116,7,0,19,0,
0,0,116,7,0,19,0,
0,0,116,7,0,22,0,
0,0,115,7,0,23,0,
0,0,116,7,0,20,0,
0,0,118,7,0,21,0,
0,0,116,7,0,19,0,
0,0,115,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,19,0,
0,0,116,7,0,20,0,
0,0,116,7,0,20,0,
0,0,118,7,0,23,0,
0,0,115,7,0,22,0,
0,0,116,7,0,18,0,
0,0,115,7,0,19,0,
0,0,115,7,0,19,0,
0,0,116,7,0,22,0,
0,0,116,7,0,21,0,
0,0,120,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,24,0,
0,0,118,7,0,24,0,
0,0,116,7,0,23,0,
0,0,117,7,0,22,0,
0,0,116,7,0,22,0,
0,0,118,8,0,24,10,
0,0,117,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,21,0,
0,0,116,7,0,21,0,
0,0,116,7,0,20,0,
0,0,117,7,0,21,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,24,0,
0,0,117,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,20,0,
0,0,119,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,24,0,
0,0,116,7,0,23,0,
0,0,115,7,0,23,0,
0,0,116,7,0,20,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,20,0,
0,0,116,7,0,22,0,
0,0,116,7,0,19,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,117,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,20,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,19,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,19,0,
0,0,116,7,0,23,0,
0,0,116,7,0,22,0,
0,0,116,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,20,0,
0,0,116,7,0,23,0,
0,0,117,7,0,20,0,
0,0,117,7,0,22,0,
0,0,117,7,0,21,0,
0,0,117,7,0,24,0,
0,0,117,7,0,23,0,
0,0,117,7,0,23,0,
0,0,116,7,0,20,0,
0,0,116,7,0,21,0,
0,0,117,7,0,23,0,
0,0,116,7,0,24,0,
0,0,117,7,0,23,0,
0,0,117,7,0,20,0,
0,0,117,7,0,19,0,
0,0,117,7,0,21,0,
0,0,117,7,0,20,0,
0,0,116,7,0,20,0,
0,0,116,7,0,23,0,
0,0,117,7,0,22,0,
0,0,116,7,0,21,0,
0,0,116,7,0,19,0,
0,0,116,7,0,19,0,
0,0,117,7,0,20,0,
0,0,115,7,0,20,0,
0,0,115,7,0,23,0,
0,0,116,8,0,22,0,
0,0,116,7,0,19,0,
0,0,115,7,0,19,0,
0,0,116,8,0,23,0,
0,0,116,7,0,20,0,
0,0,115,8,0,19,0,
0,0,116,7,0,21,0,
0,0,115,7,0,23,0,
0,0,116,7,0,22,0,
0,0,119,7,0,23,0,
0,0,117,7,0,23,0,
0,0,116,7,0,23,0,
0,0,117,7,0,23,0,
0,0,116,8,0,22,0,
0,0,116,7,0,23,0,
0,0,116,8,0,22,0,
0,0,117,7,0,23,0,
0,0,116,7,0,23,0,
0,0,116,8,0,23,0,
0,0,116,8,0,23,0,
0,0,116,8,0,21,0,
0,0,117,8,0,22,10,
90,0,116,8,0,23,0,
0,0,116,8,0,23,0,
0,0,116,8,0,22,0,
0,0,117,8,0,23,0,
0,0,118,8,0,22,0,
0,0,117,8,0,22,0,
0,0,117,8,0,23,0,
0,0,116,7,0,23,0,
0,0,116,8,0,22,0,
0,0,116,8,0,22,0,
0,0,117,8,0,23,0,
0,0,115,8,0,23,0,
0,0,117,8,0,21,0,
0,0,118,8,0,22,0,
0,0,117,8,0,22,0,
0,0,117,8,0,20,0,
0,0,117,8,0,20,0,
0,0,117,8,0,19,0,
0,0,117,8,0,21,0,
0,0,117,8,0,22,0,
0,0,117,8,0,22,0,
0,0,116,8,0,23,0,
0,0,116,8,0,22,0,
0,0,116,8,0,23,0,
0,0,115,8,0,23,0,
0,0,115,8,0,23,0,
0,0,115,8,0,23,0,
0,0,115,8,0,23,0,
0,0,117,8,0,22,0,
0,0,117,8,0,20,0,
0,0,117,8,0,22,0,
0,0,117,8,0,23,0,
0,0,117,8,0,22,0,
